timestamp,power
,apparent
1640995231,0
1640995262,0
1640995293,0
1640995324,0
1640995355,1
1640995386,28
1640995417,28
1640995448,27
1640995479,28
1640995510,2
1640995541,0
1640995572,0
1640995603,0
1640995634,0
1640995665,0
1640995696,21
1640995727,28
1640995758,28
1640995789,12
1640995820,679
1640995851,852
1640995882,475
1640995913,472
1640995944,466
1640995975,466
1640996006,467
1640996037,361
1640996068,155
1640996099,101
1640996130,101
1640996161,101
1640996192,42
1640996223,0
1640996254,0
1640996285,305
1640996316,813
1640996347,501
1640996378,859
1640996409,1331
1640996440,38
1640996471,0
1640996502,0
1640996533,0
1640996564,0
1640996595,0
1640996626,0
1640996657,0
1640996688,0
1640996719,0
1640996750,0
1640996781,0
1640996812,0
1640996843,0
1640996874,0
1640996905,0
1640996936,0
1640996967,0
1640996998,0
1640997029,0
1640997060,0
1640997091,0
1640997122,0
1640997153,0
1640997184,0
1640997215,0
1640997246,141
1640997277,472
1640997308,469
1640997339,468
1640997370,467
1640997401,467
1640997432,467
1640997463,466
1640997494,0
1640997525,0
1640997556,7
1640997587,458
1640997618,470
1640997649,469
1640997680,303
1640997711,439
1640997742,469
1640997773,468
1640997804,468
1640997835,468
1640997866,264
1640997897,0
1640997928,80
1640997959,470
1640997990,467
1640998021,465
1640998052,108
1640998083,0
1640998114,0
1640998145,330
1640998176,470
1640998207,469
1640998238,93
1640998269,0
1640998300,0
1640998331,0
1640998362,85
1640998393,471
1640998424,470
1640998455,469
1640998486,436
1640998517,0
1640998548,0
1640998579,0
1640998610,466
1640998641,46
1640998672,47
1640998703,470
1640998734,155
1640998765,22
1640998796,472
1640998827,138
1640998858,200
1640998889,259
1640998920,220
1640998951,343
1640998982,292
1640999013,170
1640999044,0
1640999075,0
1640999106,0
1640999137,0
1640999168,0
1640999199,0
1640999230,0
1640999261,0
1640999292,9
1640999323,28
1640999354,27
1640999385,27
1640999416,24
1640999447,0
1640999478,0
1640999509,12
1640999540,473
1640999571,470
1640999602,468
1640999633,468
1640999664,467
1640999695,467
1640999726,466
1640999757,123
1640999788,0
1640999819,0
1640999850,0
1640999881,0
1640999912,0
1640999943,126
1640999974,472
1641000005,469
1641000036,468
1641000067,467
1641000098,467
1641000129,467
1641000160,466
1641000191,0
1641000222,26
1641000253,28
1641000284,27
1641000315,28
1641000346,7
1641000377,25
1641000408,28
1641000439,28
1641000470,8
1641000501,0
1641000532,0
1641000563,0
1641000594,0
1641000625,0
1641000656,20
1641000687,28
1641000718,27
1641000749,28
1641000780,13
1641000811,0
1641000842,0
1641000873,0
1641000904,0
1641000935,0
1641000966,0
1641000997,0
1641001028,0
1641001059,626
1641001090,889
1641001121,475
1641001152,472
1641001183,467
1641001214,466
1641001245,467
1641001276,373
1641001307,153
1641001338,101
1641001369,101
1641001400,101
1641001431,45
1641001462,0
1641001493,0
1641001524,0
1641001555,0
1641001586,0
1641001617,0
1641001648,0
1641001679,22
1641001710,28
1641001741,27
1641001772,28
1641001803,11
1641001834,21
1641001865,28
1641001896,28
1641001927,12
1641001958,0
1641001989,0
1641002020,0
1641002051,0
1641002082,0
1641002113,16
1641002144,28
1641002175,27
1641002206,28
1641002237,16
