,power
,apparent
1640995345,912
1640995346,912
1640995347,912
1640995348,912
1640995349,912
1640995350,1667
1640995351,1667
1640995352,1667
1640995353,1667
1640995354,1667
1640995355,1666
1640995356,1666
1640995357,1666
1640995358,1666
1640995359,1666
1640995360,1665
1640995361,1665
1640995362,1665
1640995363,1665
1640995364,1665
1640995365,1661
1640995366,1661
1640995367,1661
1640995368,1661
1640995369,1661
1640995370,1657
1640995371,1657
1640995372,1657
1640995373,1657
1640995374,1657
1640995375,1657
1640995376,1657
1640995377,1657
1640995378,1657
1640995379,1657
1640995380,1651
1640995381,1651
1640995382,1651
1640995383,1651
1640995384,1651
1640995385,1647
1640995386,1647
1640995387,1647
1640995388,1647
1640995389,1647
1640995390,1635
1640995391,1635
1640995392,1635
1640995393,1635
1640995394,1635
1640995395,1633
1640995396,1633
1640995397,1633
1640995398,1633
1640995399,1633
1640995400,536
1640995401,536
1640995402,536
1640995403,536
1640995404,536
1640995405,1
1640995406,1
1640995407,1
1640995408,1
1640995409,1
1640995410,1
1640995411,1
1640995412,1
1640995413,1
1640995414,1
1640995415,1140
1640995416,1140
1640995417,1140
1640995418,1140
1640995419,1140
1640995420,1140
1640995421,1140
1640995422,1140
1640995423,1140
1640995424,1140
1640995425,1605
1640995426,1605
1640995427,1605
1640995428,1605
1640995429,1605
1640995430,808
1640995431,808
1640995432,808
1640995433,808
1640995434,808
1640995435,808
1640995436,808
1640995437,808
1640995438,808
1640995439,808
1640995440,1
1640995441,1
1640995442,1
1640995443,1
1640995444,1
1640995445,1
1640995446,1
1640995447,1
1640995448,1
1640995449,1
1640995450,1
1640995451,1
1640995452,1
1640995453,1
1640995454,1
1640995455,1
1640995456,1
1640995457,1
1640995458,1
1640995459,1
1640995460,1
1640995461,1
1640995462,1
1640995463,1
1640995464,1
1640995465,1
1640995466,1
1640995467,1
1640995468,1
1640995469,1
1640995470,1
1640995471,1
1640995472,1
1640995473,1
1640995474,1
1640995475,1
1640995476,1
1640995477,1
1640995478,1
1640995479,1
1640995480,1
1640995481,1
1640995482,1
1640995483,1
1640995484,1
1640995485,1
1640995486,1
1640995487,1
1640995488,1
1640995489,1
1640995490,37
1640995491,37
1640995492,37
1640995493,37
1640995494,37
1640995495,37
1640995496,37
1640995497,37
1640995498,37
1640995499,37
1640995500,37
1640995501,37
1640995502,37
1640995503,37
1640995504,37
1640995505,1514
1640995506,1514
1640995507,1514
1640995508,1514
1640995509,1514
1640995510,1563
1640995511,1563
1640995512,1563
1640995513,1563
1640995514,1563
1640995515,1563
1640995516,1563
1640995517,1563
1640995518,1563
1640995519,1563
1640995520,1562
1640995521,1562
1640995522,1562
1640995523,1562
1640995524,1562
1640995525,1561
1640995526,1561
1640995527,1561
1640995528,1561
1640995529,1561
1640995530,1550
1640995531,1550
1640995532,1550
1640995533,1550
1640995534,1550
1640995535,1550
1640995536,1550
1640995537,1550
1640995538,1550
1640995539,1550
1640995540,1550
1640995541,1550
1640995542,1550
1640995543,1550
1640995544,1550
1640995545,1550
1640995546,1550
1640995547,1550
1640995548,1550
1640995549,1550
1640995550,1535
1640995551,1535
1640995552,1535
1640995553,1535
1640995554,1535
1640995555,1536
1640995556,1536
1640995557,1536
1640995558,1536
1640995559,1536
1640995560,1527
1640995561,1527
1640995562,1527
1640995563,1527
1640995564,1527
1640995565,1527
1640995566,1527
1640995567,1527
1640995568,1527
1640995569,1527
1640995570,1516
1640995571,1516
1640995572,1516
1640995573,1516
1640995574,1516
1640995575,1517
1640995576,1517
1640995577,1517
1640995578,1517
