,power
,apparent
1640995656,2
1640995657,2
1640995658,2
1640995659,2
1640995660,2
1640995661,2
1640995662,2
1640995663,2
1640995664,2
1640995665,2
1640995666,2
1640995667,2
1640995668,2
1640995669,2
1640995670,2
1640995671,2
1640995672,2
1640995673,2
1640995674,2
1640995675,2
1640995676,2
1640995677,2
1640995678,2
1640995679,2
1640995680,2
1640995681,2
1640995682,2
1640995683,2
1640995684,2
1640995685,2
1640995686,2
1640995687,2
1640995688,2
1640995689,2
1640995690,2
1640995691,2
1640995692,2
1640995693,2
1640995694,2
1640995695,2
1640995696,2
1640995697,2
1640995698,2
1640995699,2
1640995700,2
1640995701,2
1640995702,2
1640995703,2
1640995704,2
1640995705,2
1640995706,2
1640995707,2
1640995708,2
1640995709,2
1640995710,2
1640995711,2
1640995712,2
1640995713,2
1640995714,2
1640995715,2
1640995716,2
1640995717,2
1640995718,2
1640995719,2
1640995720,2
1640995721,2
1640995722,2
1640995723,2
1640995724,2
1640995725,2
1640995726,2
1640995727,2
1640995728,2
1640995729,2
1640995730,2
1640995731,2
1640995732,2
1640995733,2
1640995734,2
1640995735,2
1640995736,2
1640995737,2
1640995738,2
1640995739,2
1640995740,2
1640995741,2
1640995742,2
1640995743,2
1640995744,2
1640995745,2
1640995746,2
1640995747,2
1640995748,2
1640995749,2
1640995750,2
1640995751,2
1640995752,2
1640995753,2
1640995754,2
1640995755,2
1640995756,2
1640995757,2
1640995758,2
1640995759,2
1640995760,2
1640995761,2
1640995762,2
1640995763,2
1640995764,2
1640995765,2
1640995766,2
1640995767,2
1640995768,2
1640995769,2
1640995770,2
1640995771,2
1640995772,2
1640995773,2
1640995774,2
1640995775,2
1640995776,2
1640995777,2
1640995778,2
1640995779,2
1640995780,2
1640995781,2
1640995782,2
1640995783,2
1640995784,2
1640995785,2
1640995786,2
1640995787,2
1640995788,2
1640995789,2
1640995790,2
1640995791,2
1640995792,2
1640995793,2
1640995794,2
1640995795,2
1640995796,2
1640995797,2
1640995798,2
1640995799,2
1640995800,2
1640995801,2
1640995802,2
1640995803,2
1640995804,2
1640995805,2
1640995806,2
1640995807,2
1640995808,2
1640995809,2
1640995810,2
1640995811,2
1640995812,2
1640995813,2
1640995814,2
1640995815,2
1640995816,2
1640995817,2
1640995818,2
1640995819,2
1640995820,2
1640995821,2
1640995822,2
1640995823,2
1640995824,2
1640995825,2
1640995826,2
1640995827,2
1640995828,2
1640995829,2
1640995830,2
1640995831,2
1640995832,2
1640995833,2
1640995834,2
1640995835,2
1640995836,2
1640995837,2
1640995838,2
1640995839,2
1640995840,2
1640995841,2
1640995842,2
1640995843,2
1640995844,2
1640995845,2
1640995846,2
1640995847,2
1640995848,2
1640995849,2
1640995850,2
1640995851,2
1640995852,2
1640995853,2
1640995854,2
1640995855,2
1640995856,2
1640995857,2
1640995858,2
1640995859,2
1640995860,2
1640995861,2
1640995862,2
1640995863,2
1640995864,2
1640995865,2
1640995866,2
1640995867,2
1640995868,2
1640995869,2
1640995870,2
1640995871,2
1640995872,2
1640995873,2
1640995874,2
1640995875,2
1640995876,2
1640995877,2
1640995878,2
1640995879,2
1640995880,2
1640995881,2
1640995882,2
1640995883,2
1640995884,2
1640995885,2
1640995886,2
1640995887,2
1640995888,2
1640995889,2
1640995890,2
1640995891,2
1640995892,2
1640995893,2
1640995894,2
1640995895,2
1640995896,2
1640995897,2
1640995898,2
1640995899,2
1640995900,2
1640995901,2
1640995902,2
1640995903,2
1640995904,2
1640995905,2
1640995906,2
1640995907,2
1640995908,2
1640995909,2
1640995910,2
1640995911,2
1640995912,2
1640995913,2
1640995914,2
1640995915,2
1640995916,2
1640995917,2
1640995918,2
1640995919,2
1640995920,2
1640995921,2
1640995922,2
1640995923,2
1640995924,2
1640995925,2
1640995926,2
1640995927,2
1640995928,2
1640995929,2
1640995930,2
1640995931,2
1640995932,2
1640995933,2
1640995934,2
1640995935,2
1640995936,2
1640995937,2
1640995938,2
1640995939,2
1640995940,2
1640995941,2
1640995942,2
1640995943,2
1640995944,2
1640995945,2
1640995946,2
1640995947,2
1640995948,2
1640995949,2
1640995950,2
1640995951,2
1640995952,2
1640995953,2
1640995954,2
1640995955,2
1640995956,2
1640995957,2
1640995958,2
1640995959,2
1640995960,2
