,power
,apparent
1640995607,1860
1640995608,1860
1640995609,1860
1640995610,1854
1640995611,1854
1640995612,1854
1640995613,1854
1640995614,1854
1640995615,1860
1640995616,1860
1640995617,1860
1640995618,1860
1640995619,1860
1640995620,894
1640995621,894
1640995622,894
1640995623,894
1640995624,894
1640995625,717
1640995626,717
1640995627,717
1640995628,717
1640995629,717
1640995630,714
1640995631,714
1640995632,714
1640995633,714
1640995634,714
1640995635,1212
1640995636,1212
1640995637,1212
1640995638,1212
1640995639,1212
1640995640,2520
1640995641,2520
1640995642,2520
1640995643,2520
1640995644,2520
1640995645,2568
1640995646,2568
1640995647,2568
1640995648,2568
1640995649,2568
1640995650,2556
1640995651,2556
1640995652,2556
1640995653,2556
1640995654,2556
1640995655,2562
1640995656,2562
1640995657,2562
1640995658,2562
1640995659,2562
1640995660,2397
1640995661,2397
1640995662,2397
1640995663,2397
1640995664,2397
1640995665,2388
1640995666,2388
1640995667,2388
1640995668,2388
1640995669,2388
1640995670,2390
1640995671,2390
1640995672,2390
1640995673,2390
1640995674,2390
1640995675,2385
1640995676,2385
1640995677,2385
1640995678,2385
1640995679,2385
1640995680,2374
1640995681,2374
1640995682,2374
1640995683,2374
1640995684,2374
1640995685,2373
1640995686,2373
1640995687,2373
1640995688,2373
1640995689,2373
1640995690,2381
1640995691,2381
1640995692,2381
1640995693,2381
1640995694,2381
1640995695,1612
1640995696,1612
1640995697,1612
1640995698,1612
1640995699,1612
1640995700,931
1640995701,931
1640995702,931
1640995703,931
1640995704,931
1640995705,945
1640995706,945
1640995707,945
1640995708,945
1640995709,945
1640995710,944
1640995711,944
1640995712,944
1640995713,944
1640995714,944
1640995715,935
1640995716,935
1640995717,935
1640995718,935
1640995719,935
1640995720,949
1640995721,949
1640995722,949
1640995723,949
1640995724,949
1640995725,1822
1640995726,1822
1640995727,1822
1640995728,1822
1640995729,1822
1640995730,3068
1640995731,3068
1640995732,3068
1640995733,3068
1640995734,3068
1640995735,3239
1640995736,3239
1640995737,3239
1640995738,3239
1640995739,3239
1640995740,3238
1640995741,3238
1640995742,3238
1640995743,3238
1640995744,3238
1640995745,3236
1640995746,3236
1640995747,3236
1640995748,3236
1640995749,3236
1640995750,3229
1640995751,3229
1640995752,3229
1640995753,3229
1640995754,3229
1640995755,3231
1640995756,3231
1640995757,3231
1640995758,3231
1640995759,3231
1640995760,3225
1640995761,3225
1640995762,3225
1640995763,3225
1640995764,3225
1640995765,3226
1640995766,3226
1640995767,3226
1640995768,3226
1640995769,3226
1640995770,3229
1640995771,3229
1640995772,3229
1640995773,3229
1640995774,3229
1640995775,3219
1640995776,3219
1640995777,3219
1640995778,3219
1640995779,3219
1640995780,3218
1640995781,3218
1640995782,3218
1640995783,3218
1640995784,3218
1640995785,3218
1640995786,3218
1640995787,3218
1640995788,3218
1640995789,3218
1640995790,3216
1640995791,3216
1640995792,3216
1640995793,3216
1640995794,3216
1640995795,3218
1640995796,3218
1640995797,3218
1640995798,3218
1640995799,3218
1640995800,3218
1640995801,3218
1640995802,3218
1640995803,3218
1640995804,3218
1640995805,3770
1640995806,3770
1640995807,3770
1640995808,3770
1640995809,3770
1640995810,3939
1640995811,3939
1640995812,3939
1640995813,3939
1640995814,3939
1640995815,3922
1640995816,3922
1640995817,3922
1640995818,3922
1640995819,3922
1640995820,3771
1640995821,3771
1640995822,3771
1640995823,3771
1640995824,3771
1640995825,3839
1640995826,3839
1640995827,3839
1640995828,3839
1640995829,3839
1640995830,3925
1640995831,3925
1640995832,3925
1640995833,3925
1640995834,3925
1640995835,3921
1640995836,3921
1640995837,3921
1640995838,3921
1640995839,3921
1640995840,3919
1640995841,3919
1640995842,3919
1640995843,3919
1640995844,3919
1640995845,3919
1640995846,3919
1640995847,3919
1640995848,3919
1640995849,3919
1640995850,3921
1640995851,3921
1640995852,3921
1640995853,3921
1640995854,3921
1640995855,3913
1640995856,3913
1640995857,3913
1640995858,3913
1640995859,3913
1640995860,3916
1640995861,3916
1640995862,3916
1640995863,3916
1640995864,3916
1640995865,3911
1640995866,3911
1640995867,3911
1640995868,3911
1640995869,3911
1640995870,3922
1640995871,3922
1640995872,3922
1640995873,3922
1640995874,3922
1640995875,3915
1640995876,3915
1640995877,3915
1640995878,3915
1640995879,3915
1640995880,3915
1640995881,3915
1640995882,3915
1640995883,3915
1640995884,3915
1640995885,3904
1640995886,3904
1640995887,3904
1640995888,3904
1640995889,3904
1640995890,3898
1640995891,3898
1640995892,3898
1640995893,3898
1640995894,3898
1640995895,3896
1640995896,3896
1640995897,3896
1640995898,3896
1640995899,3896
1640995900,3901
1640995901,3901
1640995902,3901
1640995903,3901
1640995904,3901
1640995905,3127
1640995906,3127
1640995907,3127
1640995908,3127
1640995909,3127
1640995910,1785
1640995911,1785
1640995912,1785
1640995913,1785
1640995914,1785
1640995915,1784
1640995916,1784
1640995917,1784
1640995918,1784
1640995919,1784
1640995920,1653
1640995921,1653
1640995922,1653
1640995923,1653
1640995924,1653
1640995925,1662
1640995926,1662
1640995927,1662
1640995928,1662
1640995929,1662
1640995930,1768
1640995931,1768
1640995932,1768
1640995933,1768
1640995934,1768
1640995935,1784
1640995936,1784
1640995937,1784
1640995938,1784
1640995939,1784
1640995940,1782
1640995941,1782
1640995942,1782
1640995943,1782
1640995944,1782
1640995945,1788
1640995946,1788
1640995947,1788
1640995948,1788
1640995949,1788
1640995950,1730
1640995951,1730
1640995952,1730
1640995953,1730
1640995954,1730
1640995955,2586
1640995956,2586
1640995957,2586
1640995958,2586
1640995959,2586
1640995960,3184
1640995961,3184
1640995962,3184
1640995963,3184
1640995964,3184
1640995965,3195
1640995966,3195
1640995967,3195
1640995968,3195
1640995969,3195
1640995970,3857
1640995971,3857
1640995972,3857
1640995973,3857
1640995974,3857
1640995975,3904
1640995976,3904
1640995977,3904
1640995978,3904
1640995979,3904
1640995980,3851
1640995981,3851
1640995982,3851
1640995983,3851
1640995984,3851
1640995985,2503
1640995986,2503
1640995987,2503
1640995988,2503
1640995989,2503
1640995990,2512
1640995991,2512
1640995992,2512
1640995993,2512
1640995994,2512
1640995995,2124
1640995996,2124
1640995997,2124
1640995998,2124
1640995999,2124
1640996000,1062
1640996001,1062
1640996002,1062
1640996003,1062
1640996004,1062
1640996005,1065
1640996006,1065
1640996007,1065
1640996008,1065
1640996009,1065
1640996010,1061
1640996011,1061
1640996012,1061
1640996013,1061
1640996014,1061
1640996015,1060
1640996016,1060
1640996017,1060
1640996018,1060
1640996019,1060
1640996020,1060
1640996021,1060
1640996022,1060
1640996023,1060
1640996024,1060
1640996025,1060
1640996026,1060
1640996027,1060
1640996028,1060
1640996029,1060
1640996030,1057
1640996031,1057
1640996032,1057
1640996033,1057
1640996034,1057
1640996035,920
1640996036,920
1640996037,920
1640996038,920
1640996039,920
1640996040,952
1640996041,952
1640996042,952
1640996043,952
1640996044,952
1640996045,1047
1640996046,1047
1640996047,1047
1640996048,1047
1640996049,1047
1640996050,1060
1640996051,1060
1640996052,1060
1640996053,1060
1640996054,1060
1640996055,1539
1640996056,1539
1640996057,1539
1640996058,1539
1640996059,1539
1640996060,2470
1640996061,2470
1640996062,2470
1640996063,2470
1640996064,2470
1640996065,2475
1640996066,2475
1640996067,2475
1640996068,2475
1640996069,2475
1640996070,2475
1640996071,2475
1640996072,2475
1640996073,2475
1640996074,2475
1640996075,2481
1640996076,2481
1640996077,2481
1640996078,2481
1640996079,2481
1640996080,2412
1640996081,2412
1640996082,2412
1640996083,2412
1640996084,2412
1640996085,2475
1640996086,2475
1640996087,2475
1640996088,2475
1640996089,2475
1640996090,2474
1640996091,2474
1640996092,2474
1640996093,2474
1640996094,2474
1640996095,2477
1640996096,2477
1640996097,2477
1640996098,2477
1640996099,2477
1640996100,2425
1640996101,2425
1640996102,2425
1640996103,2425
1640996104,2425
1640996105,2477
1640996106,2477
1640996107,2477
1640996108,2477
1640996109,2477
1640996110,2477
1640996111,2477
1640996112,2477
1640996113,2477
1640996114,2477
1640996115,2485
1640996116,2485
1640996117,2485
1640996118,2485
1640996119,2485
1640996120,2484
1640996121,2484
1640996122,2484
1640996123,2484
1640996124,2484
1640996125,2477
1640996126,2477
1640996127,2477
1640996128,2477
1640996129,2477
