,power
,apparent
1640995200,0
1640995201,0
1640995202,0
1640995203,0
1640995204,0
1640995205,0
1640995206,0
1640995207,0
1640995208,0
1640995209,0
1640995210,0
1640995211,0
1640995212,0
1640995213,0
1640995214,0
1640995215,0
1640995216,0
1640995217,0
1640995218,0
1640995219,0
1640995220,727
1640995221,727
1640995222,727
1640995223,727
1640995224,727
1640995225,730
1640995226,730
1640995227,730
1640995228,730
1640995229,730
1640995230,728
1640995231,728
1640995232,728
1640995233,728
1640995234,728
1640995235,727
1640995236,727
1640995237,727
1640995238,727
1640995239,727
1640995240,727
1640995241,727
1640995242,727
1640995243,727
1640995244,727
1640995245,727
1640995246,727
1640995247,727
1640995248,727
1640995249,727
1640995250,726
1640995251,726
1640995252,726
1640995253,726
1640995254,726
1640995255,725
1640995256,725
1640995257,725
1640995258,725
1640995259,725
1640995260,724
1640995261,724
1640995262,724
1640995263,724
1640995264,724
1640995265,724
1640995266,724
1640995267,724
1640995268,724
1640995269,724
1640995270,723
1640995271,723
1640995272,723
1640995273,723
1640995274,723
1640995275,722
1640995276,722
1640995277,722
1640995278,722
1640995279,722
1640995280,721
1640995281,721
1640995282,721
1640995283,721
1640995284,721
1640995285,720
1640995286,720
1640995287,720
1640995288,720
1640995289,720
1640995290,721
1640995291,721
1640995292,721
1640995293,721
1640995294,721
1640995295,721
1640995296,721
1640995297,721
1640995298,721
1640995299,721
1640995300,720
1640995301,720
1640995302,720
1640995303,720
1640995304,720
1640995305,719
1640995306,719
1640995307,719
1640995308,719
1640995309,719
1640995310,720
1640995311,720
1640995312,720
1640995313,720
1640995314,720
1640995315,721
1640995316,721
1640995317,721
1640995318,721
1640995319,721
1640995320,721
1640995321,721
1640995322,721
1640995323,721
1640995324,721
1640995325,721
1640995326,721
1640995327,721
1640995328,721
1640995329,721
1640995330,717
1640995331,717
1640995332,717
1640995333,717
1640995334,717
1640995335,704
1640995336,704
1640995337,704
1640995338,704
1640995339,704
1640995340,0
1640995341,0
1640995342,0
1640995343,0
1640995344,0
1640995345,0
