timestamp,power
,apparent
1640995216,2
1640995232,2
1640995248,2
1640995264,1415
1640995280,1410
1640995296,1411
1640995312,1403
1640995328,1393
1640995344,1381
1640995360,1402
1640995376,1429
1640995392,1440
1640995408,1442
1640995424,1443
1640995440,1443
1640995456,1443
1640995472,1445
1640995488,1436
1640995504,1413
1640995520,1412
1640995536,276
1640995552,2
1640995568,2
1640995584,2
1640995600,2
1640995616,2
1640995632,2
1640995648,2
1640995664,2
1640995680,15
1640995696,30
1640995712,30
1640995728,30
1640995744,30
1640995760,30
1640995776,23
1640995792,2
1640995808,1252
1640995824,3007
1640995840,2214
1640995856,2038
1640995872,2344
1640995888,3315
1640995904,3300
1640995920,3318
1640995936,3312
1640995952,3010
1640995968,2325
1640995984,1899
1640996000,1898
1640996016,1896
1640996032,1808
1640996048,1564
1640996064,1597
1640996080,558
1640996096,103
1640996112,103
1640996128,103
1640996144,103
1640996160,103
1640996176,93
1640996192,2
1640996208,2
1640996224,2
1640996240,2
1640996256,2
1640996272,2
1640996288,776
1640996304,815
1640996320,786
1640996336,487
1640996352,524
1640996368,898
1640996384,900
1640996400,2502
1640996416,2272
1640996432,1423
1640996448,1423
1640996464,1414
1640996480,1414
1640996496,1412
1640996512,1415
1640996528,1416
1640996544,1416
1640996560,1417
1640996576,1416
1640996592,1415
1640996608,1413
1640996624,1416
1640996640,1418
1640996656,1418
1640996672,1421
1640996688,1421
1640996704,1429
1640996720,1888
1640996736,2056
1640996752,545
1640996768,2
1640996784,2
1640996800,2
1640996816,2
1640996832,2
1640996848,2
1640996864,2
1640996880,2
1640996896,2
1640996912,2
1640996928,2
1640996944,75
1640996960,159
1640996976,153
1640996992,150
1640997008,144
1640997024,142
1640997040,140
1640997056,299
1640997072,1551
1640997088,1544
1640997104,1554
1640997120,1552
1640997136,1319
1640997152,776
1640997168,302
1640997184,1497
1640997200,1054
1640997216,135
1640997232,135
1640997248,482
1640997264,608
1640997280,605
1640997296,603
1640997312,603
1640997328,1080
1640997344,2031
1640997360,2021
1640997376,2022
1640997392,2025
1640997408,2023
1640997424,2020
1640997440,2020
1640997456,2019
1640997472,1738
1640997488,1553
1640997504,1552
1640997520,1555
1640997536,1556
1640997552,1568
1640997568,1914
1640997584,2040
1640997600,2042
1640997616,2045
1640997632,1157
1640997648,600
1640997664,600
1640997680,269
1640997696,539
1640997712,601
1640997728,601
1640997744,600
1640997760,599
1640997776,598
1640997792,599
1640997808,599
1640997824,598
1640997840,598
1640997856,502
1640997872,130
1640997888,130
1640997904,130
1640997920,131
1640997936,540
1640997952,599
1640997968,598
1640997984,596
1640998000,592
1640998016,597
1640998032,502
1640998048,129
1640998064,129
1640998080,129
1640998096,128
1640998112,128
1640998128,254
1640998144,599
1640998160,598
1640998176,598
1640998192,597
1640998208,598
1640998224,283
1640998240,128
1640998256,128
1640998272,128
1640998288,129
1640998304,128
1640998320,128
1640998336,128
1640998352,128
1640998368,489
1640998384,600
1640998400,598
1640998416,598
1640998432,598
1640998448,597
1640998464,596
1640998480,596
1640998496,220
1640998512,128
1640998528,128
1640998544,127
1640998560,127
1640998576,128
1640998592,527
1640998608,597
1640998624,283
1640998640,128
1640998656,128
1640998672,222
1640998688,599
1640998704,597
1640998720,407
1640998736,127
1640998752,128
1640998768,266
1640998784,599
1640998800,626
1640998816,490
1640998832,337
1640998848,305
1640998864,683
1640998880,342
1640998896,621
1640998912,429
1640998928,374
1640998944,680
1640998960,245
1640998976,601
1640998992,679
1640999008,242
1640999024,211
1640999040,211
1640999056,212
1640999072,210
1640999088,210
1640999104,213
1640999120,213
1640999136,213
1640999152,212
1640999168,212
1640999184,212
1640999200,214
1640999216,214
1640999232,214
1640999248,212
1640999264,212
1640999280,213
1640999296,240
1640999312,240
1640999328,240
1640999344,242
1640999360,241
1640999376,242
1640999392,242
1640999408,240
1640999424,217
1640999440,214
1640999456,213
1640999472,212
1640999488,212
1640999504,213
1640999520,560
1640999536,687
1640999552,683
1640999568,681
1640999584,683
1640999600,683
1640999616,682
1640999632,682
1640999648,679
1640999664,679
1640999680,681
1640999696,680
1640999712,678
1640999728,679
1640999744,399
1640999760,214
1640999776,214
1640999792,213
1640999808,212
1640999824,212
1640999840,213
1640999856,213
1640999872,213
1640999888,211
1640999904,211
1640999920,213
1640999936,245
1640999952,687
1640999968,685
1640999984,972
1641000000,2116
1641000016,2104
1641000032,2104
1641000048,2105
1641000064,2104
1641000080,2104
1641000096,2103
1641000112,2101
1641000128,2101
1641000144,2100
1641000160,2100
1641000176,1637
1641000192,1636
1641000208,1673
1641000224,1685
1641000240,1681
1641000256,1683
1641000272,1685
1641000288,990
1641000304,241
1641000320,243
1641000336,220
1641000352,219
1641000368,241
1641000384,241
1641000400,242
1641000416,243
1641000432,241
1641000448,240
1641000464,216
1641000480,215
1641000496,215
1641000512,215
1641000528,213
1641000544,213
1641000560,215
1641000576,214
1641000592,214
1641000608,214
1641000624,215
1641000640,226
1641000656,243
1641000672,241
1641000688,240
1641000704,242
1641000720,243
1641000736,244
1641000752,244
1641000768,233
1641000784,213
1641000800,216
1641000816,216
1641000832,213
1641000848,213
1641000864,215
1641000880,215
1641000896,215
1641000912,214
1641000928,212
1641000944,213
1641000960,215
1641000976,215
1641000992,216
1641001008,214
1641001024,213
1641001040,215
1641001056,1150
1641001072,1684
1641001088,699
1641001104,692
1641001120,692
1641001136,688
1641001152,687
1641001168,680
1641001184,680
1641001200,681
1641001216,681
1641001232,683
1641001248,679
1641001264,680
1641001280,400
1641001296,376
1641001312,353
1641001328,314
1641001344,316
1641001360,316
1641001376,316
1641001392,316
1641001408,314
1641001424,248
1641001440,215
1641001456,214
1641001472,213
1641001488,213
1641001504,214
1641001520,214
1641001536,215
1641001552,213
1641001568,213
1641001584,215
1641001600,216
1641001616,215
1641001632,215
1641001648,213
1641001664,230
1641001680,243
1641001696,242
1641001712,241
1641001728,240
1641001744,242
1641001760,243
1641001776,243
1641001792,269
1641001808,364
1641001824,390
1641001840,393
1641001856,386
1641001872,384
1641001888,380
1641001904,379
1641001920,363
1641001936,352
1641001952,350
1641001968,349
1641001984,351
1641002000,351
1641002016,351
1641002032,349
1641002048,348
1641002064,349
1641002080,350
1641002096,351
1641002112,376
1641002128,374
1641002144,374
1641002160,374
1641002176,374
1641002192,373
1641002208,372
1641002224,375
1641002240,347
1641002256,347
1641002272,346
1641002288,344
1641002304,345
1641002320,347
1641002336,346
1641002352,346
1641002368,344
1641002384,344
1641002400,345
1641002416,345
1641002432,343
1641002448,343
1641002464,345
1641002480,344
1641002496,344
1641002512,757
1641002528,1929
1641002544,938
1641002560,908
1641002576,820
1641002592,816
1641002608,815
1641002624,812
1641002640,810
1641002656,810
1641002672,808
1641002688,808
1641002704,809
1641002720,811
1641002736,650
1641002752,488
1641002768,500
1641002784,442
1641002800,445
1641002816,446
1641002832,443
1641002848,442
1641002864,444
1641002880,414
1641002896,343
1641002912,341
1641002928,339
1641002944,341
1641002960,342
1641002976,342
1641002992,343
1641003008,341
1641003024,340
1641003040,342
1641003056,343
1641003072,339
1641003088,339
1641003104,345
1641003120,344
1641003136,343
1641003152,790
1641003168,1154
1641003184,1154
1641003200,925
1641003216,808
1641003232,1136
1641003248,1236
1641003264,1522
1641003280,1742
1641003296,392
1641003312,340
1641003328,340
1641003344,342
1641003360,342
1641003376,342
1641003392,340
1641003408,339
1641003424,339
1641003440,341
1641003456,340
1641003472,340
1641003488,339
1641003504,340
1641003520,340
1641003536,341
1641003552,1061
1641003568,1871
1641003584,872
1641003600,811
1641003616,690
1641003632,686
1641003648,683
1641003664,680
1641003680,680
1641003696,679
1641003712,678
1641003728,680
1641003744,680
1641003760,681
1641003776,445
1641003792,368
1641003808,360
1641003824,313
1641003840,314
1641003856,314
1641003872,314
1641003888,312
1641003904,312
1641003920,265
1641003936,213
1641003952,212
1641003968,212
1641003984,214
1641004000,214
1641004016,214
1641004032,212
1641004048,212
1641004064,214
1641004080,214
1641004096,214
1641004112,214
1641004128,212
1641004144,212
1641004160,213
1641004176,240
1641004192,239
1641004208,242
1641004224,1257
1641004240,1632
1641004256,241
1641004272,217
1641004288,211
1641004304,213
1641004320,214
1641004336,214
1641004352,214
1641004368,212
1641004384,212
1641004400,214
1641004416,213
1641004432,212
1641004448,220
1641004464,242
1641004480,242
1641004496,242
1641004512,241
1641004528,239
1641004544,240
1641004560,242
1641004576,237
1641004592,213
1641004608,213
1641004624,214
1641004640,214
1641004656,214
1641004672,211
1641004688,211
1641004704,215
1641004720,215
1641004736,215
1641004752,214
1641004768,212
1641004784,213
1641004800,215
1641004816,214
1641004832,212
1641004848,212
1641004864,214
1641004880,214
1641004896,214
1641004912,212
1641004928,211
1641004944,213
1641004960,214
1641004976,214
1641004992,215
1641005008,212
1641005024,320
1641005040,1789
1641005056,999
1641005072,821
1641005088,688
1641005104,690
1641005120,687
1641005136,684
1641005152,680
1641005168,679
1641005184,680
1641005200,681
1641005216,1411
1641005232,1407
1641005248,1316
1641005264,1069
1641005280,1101
1641005296,1042
1641005312,1036
1641005328,694
1641005344,316
1641005360,317
1641005376,315
1641005392,305
1641005408,216
1641005424,217
1641005440,216
1641005456,216
1641005472,214
1641005488,214
1641005504,216
1641005520,215
1641005536,214
1641005552,213
1641005568,216
1641005584,216
1641005600,216
1641005616,215
1641005632,214
1641005648,235
1641005664,243
1641005680,243
1641005696,243
1641005712,241
1641005728,241
1641005744,229
1641005760,216
1641005776,214
1641005792,214
1641005808,216
1641005824,216
1641005840,216
1641005856,215
1641005872,214
1641005888,215
1641005904,217
1641005920,216
1641005936,244
1641005952,242
1641005968,242
1641005984,242
1641006000,242
1641006016,241
1641006032,241
1641006048,244
1641006064,219
1641006080,216
1641006096,215
1641006112,213
1641006128,214
1641006144,216
1641006160,216
1641006176,216
1641006192,214
1641006208,214
1641006224,215
1641006240,324
1641006256,1788
1641006272,999
1641006288,826
1641006304,692
1641006320,690
1641006336,688
1641006352,683
1641006368,681
1641006384,682
1641006400,682
1641006416,682
1641006432,682
1641006448,682
1641006464,593
1641006480,346
1641006496,379
1641006512,321
1641006528,317
1641006544,318
1641006560,318
1641006576,318
1641006592,315
1641006608,305
1641006624,217
1641006640,217
1641006656,214
1641006672,214
1641006688,216
1641006704,216
1641006720,216
1641006736,215
1641006752,213
1641006768,214
1641006784,216
1641006800,216
1641006816,217
1641006832,215
1641006848,214
1641006864,235
1641006880,245
1641006896,241
1641006912,241
1641006928,246
1641006944,319
1641006960,389
1641006976,368
1641006992,362
1641007008,356
1641007024,356
1641007040,354
1641007056,354
1641007072,351
1641007088,350
1641007104,350
1641007120,351
1641007136,348
1641007152,374
1641007168,378
1641007184,378
1641007200,378
1641007216,376
1641007232,375
1641007248,375
1641007264,377
1641007280,353
1641007296,346
1641007312,346
1641007328,347
1641007344,346
1641007360,347
1641007376,346
1641007392,346
1641007408,347
1641007424,348
1641007440,347
1641007456,347
1641007472,574
1641007488,1159
1641007504,1159
1641007520,1020
1641007536,810
1641007552,1023
1641007568,1242
1641007584,1344
1641007600,1914
1641007616,572
1641007632,342
1641007648,343
1641007664,344
1641007680,344
1641007696,344
1641007712,342
1641007728,342
1641007744,344
1641007760,344
1641007776,342
1641007792,342
1641007808,345
1641007824,344
1641007840,344
1641007856,343
1641007872,342
1641007888,682
1641007904,1159
1641007920,1156
1641007936,973
1641007952,808
1641007968,1077
1641007984,1237
1641008000,1432
1641008016,1900
1641008032,442
1641008048,343
1641008064,343
1641008080,343
1641008096,341
1641008112,339
1641008128,340
1641008144,342
1641008160,342
1641008176,342
1641008192,340
1641008208,340
1641008224,341
1641008240,342
1641008256,340
1641008272,340
1641008288,858
1641008304,1935
1641008320,916
1641008336,884
1641008352,816
1641008368,813
1641008384,815
1641008400,810
1641008416,807
1641008432,807
1641008448,808
1641008464,810
1641008480,808
1641008496,807
1641008512,619
1641008528,489
1641008544,500
1641008560,443
1641008576,444
1641008592,441
1641008608,441
1641008624,444
1641008640,444
1641008656,404
1641008672,340
1641008688,342
1641008704,341
1641008720,339
1641008736,342
1641008752,343
1641008768,338
1641008784,337
1641008800,341
1641008816,343
1641008832,339
1641008848,215
1641008864,211
1641008880,211
1641008896,215
1641008912,241
1641008928,243
1641008944,241
1641008960,239
1641008976,241
1641008992,243
1641009008,220
1641009024,211
1641009040,652
1641009056,1626
1641009072,1615
1641009088,1627
1641009104,1620
1641009120,1319
1641009136,636
1641009152,209
1641009168,209
1641009184,210
1641009200,232
1641009216,234
1641009232,237
1641009248,234
1641009264,232
1641009280,236
1641009296,237
1641009312,237
1641009328,209
1641009344,204
1641009360,204
1641009376,209
1641009392,208
1641009408,208
1641009424,206
1641009440,203
1641009456,205
1641009472,208
1641009488,208
1641009504,206
1641009520,202
1641009536,208
1641009552,208
1641009568,208
1641009584,206
1641009600,201
1641009616,96
1641009632,0
1641009648,0
1641009664,0
1641009680,0
1641009696,0
1641009712,471
1641009728,1434
1641009744,1427
1641009760,1492
1641009776,2909
1641009792,2337
1641009808,2054
1641009824,1902
1641009840,1903
1641009856,1901
1641009872,1900
1641009888,1897
1641009904,1894
1641009920,1896
1641009936,1896
1641009952,1900
1641009968,1897
