,power
,apparent
1641024354,153.0
1641024355,153.0
1641024356,153.0
1641024357,153.0
1641024358,153.0
1641024359,153.0
1641024360,153.0
1641024361,153.0
1641024362,153.0
1641024363,153.0
1641024364,153.0
1641024365,157.0
1641024366,157.0
1641024367,157.0
1641024368,157.0
1641024369,157.0
1641024370,158.0
1641024371,158.0
1641024372,158.0
1641024373,158.0
1641024374,158.0
1641024375,156.0
1641024376,156.0
1641024377,156.0
1641024378,156.0
1641024379,156.0
1641024380,157.0
1641024381,157.0
1641024382,157.0
1641024383,157.0
1641024384,157.0
1641024385,156.0
1641024386,156.0
1641024387,156.0
1641024388,156.0
1641024389,156.0
1641024390,150.0
1641024391,150.0
1641024392,150.0
1641024393,150.0
1641024394,150.0
1641024395,152.0
1641024396,152.0
1641024397,152.0
1641024398,152.0
1641024399,152.0
1641024400,151.0
1641024401,151.0
1641024402,151.0
1641024403,151.0
1641024404,151.0
1641024405,162.0
1641024406,162.0
1641024407,162.0
1641024408,162.0
1641024409,162.0
1641024410,155.0
1641024411,155.0
1641024412,155.0
1641024413,155.0
1641024414,155.0
1641024415,162.0
1641024416,162.0
1641024417,162.0
1641024418,162.0
1641024419,162.0
1641024420,166.0
1641024421,166.0
1641024422,166.0
1641024423,166.0
1641024424,166.0
1641024425,155.0
1641024426,155.0
1641024427,155.0
1641024428,155.0
1641024429,155.0
1641024430,155.0
1641024431,155.0
1641024432,155.0
1641024433,155.0
1641024434,155.0
1641024435,171.0
1641024436,171.0
1641024437,171.0
1641024438,171.0
1641024439,171.0
1641024440,178.0
1641024441,178.0
1641024442,178.0
1641024443,178.0
1641024444,178.0
1641024445,169.0
1641024446,169.0
1641024447,169.0
1641024448,169.0
1641024449,169.0
1641024450,156.0
1641024451,156.0
1641024452,156.0
1641024453,156.0
1641024454,156.0
1641024455,169.0
1641024456,169.0
1641024457,169.0
1641024458,169.0
1641024459,169.0
1641024460,2.0
1641024461,2.0
1641024462,2.0
1641024463,2.0
1641024464,2.0
1641024465,2.0
1641024466,2.0
1641024467,2.0
1641024468,2.0
1641024469,2.0
1641024470,2.0
1641024471,2.0
1641024472,2.0
1641024473,2.0
1641024474,2.0
1641024475,2.0
1641024476,2.0
1641024477,2.0
1641024478,2.0
1641024479,2.0
1641024480,2.0
1641024481,2.0
1641024482,2.0
1641024483,2.0
1641024484,2.0
1641024485,2.0
1641024486,2.0
1641024487,2.0
1641024488,2.0
1641024489,2.0
1641024490,2.0
1641024491,2.0
1641024492,2.0
1641024493,2.0
1641024494,2.0
1641024495,2.0
1641024496,2.0
1641024497,2.0
1641024498,2.0
1641024499,2.0
1641024500,2.0
1641024501,2.0
1641024502,2.0
1641024503,2.0
1641024504,2.0
1641024505,2.0
1641024506,2.0
1641024507,2.0
1641024508,2.0
1641024509,2.0
1641024510,2.0
1641024511,2.0
1641024512,2.0
1641024513,2.0
1641024514,2.0
1641024515,2.0
1641024516,2.0
1641024517,2.0
1641024518,2.0
1641024519,2.0
1641024520,36.0
1641024521,36.0
1641024522,36.0
1641024523,36.0
1641024524,36.0
1641024525,112.0
1641024526,112.0
1641024527,112.0
1641024528,112.0
1641024529,112.0
1641024530,150.0
1641024531,150.0
1641024532,150.0
1641024533,150.0
1641024534,150.0
1641024535,149.0
1641024536,149.0
1641024537,149.0
1641024538,149.0
1641024539,149.0
1641024540,149.0
1641024541,149.0
1641024542,149.0
1641024543,149.0
1641024544,149.0
1641024545,149.0
1641024546,149.0
1641024547,149.0
1641024548,149.0
1641024549,149.0
1641024550,149.0
1641024551,149.0
1641024552,149.0
1641024553,149.0
1641024554,149.0
1641024555,154.0
1641024556,154.0
1641024557,154.0
1641024558,154.0
1641024559,154.0
1641024560,147.0
1641024561,147.0
1641024562,147.0
1641024563,147.0
1641024564,147.0
1641024565,150.0
1641024566,150.0
1641024567,150.0
1641024568,150.0
1641024569,150.0
1641024570,150.0
1641024571,150.0
1641024572,150.0
1641024573,150.0
1641024574,150.0
1641024575,145.0
1641024576,145.0
1641024577,145.0
1641024578,145.0
1641024579,145.0
1641024580,143.0
1641024581,143.0
1641024582,143.0
1641024583,143.0
1641024584,143.0
1641024585,149.0
1641024586,149.0
1641024587,149.0
1641024588,149.0
1641024589,149.0
1641024590,146.0
1641024591,146.0
1641024592,146.0
1641024593,146.0
1641024594,146.0
1641024595,150.0
1641024596,150.0
1641024597,150.0
1641024598,150.0
1641024599,150.0
1641024600,148.0
1641024601,148.0
1641024602,148.0
1641024603,148.0
1641024604,148.0
1641024605,157.0
1641024606,157.0
1641024607,157.0
1641024608,157.0
1641024609,157.0
1641024610,156.0
1641024611,156.0
1641024612,156.0
1641024613,156.0
1641024614,156.0
1641024615,151.0
1641024616,151.0
1641024617,151.0
1641024618,151.0
1641024619,151.0
1641024620,2.0
1641024621,2.0
1641024622,2.0
1641024623,2.0
1641024624,2.0
1641024625,74.0
1641024626,74.0
1641024627,74.0
1641024628,74.0
1641024629,74.0
1641024630,154.0
1641024631,154.0
1641024632,154.0
1641024633,154.0
1641024634,154.0
1641024635,150.0
1641024636,150.0
1641024637,150.0
1641024638,150.0
1641024639,150.0
1641024640,157.0
1641024641,157.0
1641024642,157.0
1641024643,157.0
1641024644,157.0
1641024645,153.0
1641024646,153.0
1641024647,153.0
1641024648,153.0
1641024649,153.0
1641024650,152.0
1641024651,152.0
1641024652,152.0
1641024653,152.0
1641024654,152.0
1641024655,148.0
1641024656,148.0
1641024657,148.0
1641024658,148.0
1641024659,148.0
1641024660,149.0
1641024661,149.0
1641024662,149.0
1641024663,149.0
1641024664,149.0
1641024665,148.0
1641024666,148.0
1641024667,148.0
1641024668,148.0
1641024669,148.0
1641024670,158.0
1641024671,158.0
1641024672,158.0
1641024673,158.0
1641024674,158.0
1641024675,153.0
1641024676,153.0
1641024677,153.0
1641024678,153.0
1641024679,153.0
1641024680,152.0
1641024681,152.0
1641024682,152.0
1641024683,152.0
1641024684,152.0
1641024685,145.0
1641024686,145.0
1641024687,145.0
1641024688,145.0
1641024689,145.0
1641024690,143.0
1641024691,143.0
1641024692,143.0
1641024693,143.0
1641024694,143.0
1641024695,143.0
1641024696,143.0
1641024697,143.0
1641024698,143.0
1641024699,143.0
1641024700,143.0
1641024701,143.0
1641024702,143.0
1641024703,143.0
1641024704,143.0
1641024705,144.0
1641024706,144.0
1641024707,144.0
1641024708,144.0
1641024709,144.0
1641024710,144.0
1641024711,144.0
1641024712,144.0
1641024713,144.0
1641024714,144.0
1641024715,143.0
1641024716,143.0
1641024717,143.0
1641024718,143.0
1641024719,143.0
1641024720,20.0
1641024721,20.0
1641024722,20.0
1641024723,20.0
1641024724,20.0
1641024725,20.0
1641024726,20.0
1641024727,20.0
1641024728,20.0
1641024729,20.0
1641024730,124.0
1641024731,124.0
1641024732,124.0
1641024733,124.0
1641024734,124.0
1641024735,143.0
1641024736,143.0
1641024737,143.0
1641024738,143.0
1641024739,143.0
1641024740,143.0
1641024741,143.0
1641024742,143.0
1641024743,143.0
1641024744,143.0
1641024745,148.0
1641024746,148.0
1641024747,148.0
1641024748,148.0
1641024749,148.0
1641024750,71.0
1641024751,71.0
1641024752,71.0
1641024753,71.0
1641024754,71.0
1641024755,144.0
1641024756,144.0
1641024757,144.0
1641024758,144.0
1641024759,144.0
1641024760,143.0
1641024761,143.0
1641024762,143.0
1641024763,143.0
1641024764,143.0
1641024765,147.0
1641024766,147.0
1641024767,147.0
1641024768,147.0
1641024769,147.0
1641024770,145.0
1641024771,145.0
1641024772,145.0
1641024773,145.0
1641024774,145.0
1641024775,146.0
1641024776,146.0
1641024777,146.0
1641024778,146.0
1641024779,146.0
1641024780,152.0
1641024781,152.0
1641024782,152.0
1641024783,152.0
1641024784,152.0
1641024785,153.0
1641024786,153.0
1641024787,153.0
1641024788,153.0
1641024789,153.0
1641024790,162.0
1641024791,162.0
1641024792,162.0
1641024793,162.0
1641024794,162.0
1641024795,149.0
1641024796,149.0
1641024797,149.0
1641024798,149.0
1641024799,149.0
1641024800,149.0
1641024801,149.0
1641024802,149.0
1641024803,149.0
1641024804,149.0
1641024805,151.0
1641024806,151.0
1641024807,151.0
1641024808,151.0
1641024809,151.0
1641024810,144.0
1641024811,144.0
1641024812,144.0
1641024813,144.0
1641024814,144.0
1641024815,144.0
1641024816,144.0
1641024817,144.0
1641024818,144.0
1641024819,144.0
1641024820,144.0
1641024821,144.0
1641024822,144.0
1641024823,144.0
1641024824,144.0
1641024825,144.0
1641024826,144.0
1641024827,144.0
1641024828,144.0
1641024829,144.0
1641024830,142.0
1641024831,142.0
1641024832,142.0
1641024833,142.0
1641024834,142.0
1641024835,2.0
1641024836,2.0
1641024837,2.0
1641024838,2.0
1641024839,2.0
1641024840,36.0
1641024841,36.0
1641024842,36.0
1641024843,36.0
1641024844,36.0
1641024845,131.0
1641024846,131.0
1641024847,131.0
1641024848,131.0
1641024849,131.0
1641024850,144.0
1641024851,144.0
1641024852,144.0
1641024853,144.0
1641024854,144.0
1641024855,143.0
1641024856,143.0
1641024857,143.0
1641024858,143.0
1641024859,143.0
1641024860,147.0
1641024861,147.0
1641024862,147.0
1641024863,147.0
1641024864,147.0
1641024865,149.0
1641024866,149.0
1641024867,149.0
1641024868,149.0
1641024869,149.0
1641024870,147.0
1641024871,147.0
1641024872,147.0
1641024873,147.0
1641024874,147.0
1641024875,149.0
1641024876,149.0
1641024877,149.0
1641024878,149.0
1641024879,149.0
1641024880,144.0
1641024881,144.0
1641024882,144.0
1641024883,144.0
1641024884,144.0
1641024885,144.0
1641024886,144.0
1641024887,144.0
1641024888,144.0
1641024889,144.0
1641024890,144.0
1641024891,144.0
1641024892,144.0
1641024893,144.0
1641024894,144.0
1641024895,142.0
1641024896,142.0
1641024897,142.0
1641024898,142.0
1641024899,142.0
1641024900,96.0
1641024901,186.0
1641024902,186.0
1641024903,186.0
1641024904,186.0
1641024905,235.0
1641024906,621.0
1641024907,621.0
1641024908,621.0
1641024909,621.0
1641024910,620.0
1641024911,619.0
1641024912,619.0
1641024913,619.0
1641024914,619.0
1641024915,626.0
1641024916,624.0
1641024917,624.0
1641024918,624.0
1641024919,624.0
1641024920,627.0
1641024921,628.0
1641024922,628.0
1641024923,628.0
1641024924,628.0
1641024925,628.0
1641024926,627.0
1641024927,627.0
1641024928,627.0
1641024929,627.0
1641024930,619.0
1641024931,618.0
1641024932,618.0
1641024933,618.0
1641024934,618.0
1641024935,620.0
1641024936,619.0
1641024937,619.0
1641024938,619.0
1641024939,619.0
1641024940,633.0
1641024941,633.0
1641024942,633.0
1641024943,633.0
1641024944,633.0
1641024945,626.0
1641024946,625.0
1641024947,625.0
1641024948,625.0
1641024949,625.0
1641024950,620.0
1641024951,620.0
1641024952,620.0
1641024953,620.0
1641024954,620.0
1641024955,620.0
1641024956,619.0
1641024957,619.0
1641024958,619.0
1641024959,619.0
1641024960,616.0
1641024961,617.0
1641024962,617.0
1641024963,617.0
1641024964,617.0
1641024965,615.0
1641024966,615.0
1641024967,615.0
1641024968,615.0
1641024969,615.0
1641024970,620.0
1641024971,619.0
1641024972,619.0
1641024973,619.0
1641024974,619.0
1641024975,617.0
1641024976,617.0
1641024977,617.0
1641024978,617.0
1641024979,617.0
1641024980,630.0
1641024981,630.0
1641024982,630.0
1641024983,630.0
1641024984,630.0
1641024985,617.0
1641024986,617.0
1641024987,617.0
1641024988,617.0
1641024989,617.0
1641024990,619.0
1641024991,618.0
1641024992,618.0
1641024993,618.0
1641024994,618.0
1641024995,611.0
1641024996,611.0
1641024997,611.0
1641024998,611.0
1641024999,611.0
1641025000,493.0
1641025001,493.0
1641025002,493.0
1641025003,493.0
1641025004,493.0
1641025005,607.0
1641025006,607.0
1641025007,607.0
1641025008,607.0
1641025009,607.0
1641025010,613.0
1641025011,613.0
1641025012,613.0
1641025013,613.0
1641025014,613.0
1641025015,613.0
1641025016,613.0
1641025017,613.0
1641025018,613.0
1641025019,613.0
1641025020,613.0
1641025021,613.0
1641025022,613.0
1641025023,613.0
1641025024,613.0
1641025025,614.0
1641025026,614.0
1641025027,614.0
1641025028,614.0
1641025029,614.0
1641025030,616.0
1641025031,614.0
1641025032,614.0
1641025033,614.0
1641025034,614.0
1641025035,612.0
1641025036,613.0
1641025037,613.0
1641025038,613.0
1641025039,613.0
1641025040,613.0
1641025041,614.0
1641025042,614.0
1641025043,614.0
1641025044,614.0
1641025045,614.0
1641025046,613.0
1641025047,613.0
1641025048,613.0
1641025049,613.0
1641025050,613.0
1641025051,613.0
1641025052,613.0
1641025053,613.0
1641025054,613.0
1641025055,613.0
1641025056,613.0
1641025057,613.0
1641025058,613.0
1641025059,613.0
1641025060,613.0
1641025061,614.0
1641025062,614.0
1641025063,614.0
1641025064,614.0
1641025065,614.0
1641025066,613.0
1641025067,613.0
1641025068,613.0
1641025069,613.0
1641025070,614.0
1641025071,615.0
1641025072,615.0
1641025073,615.0
1641025074,615.0
1641025075,615.0
1641025076,613.0
1641025077,613.0
1641025078,613.0
1641025079,613.0
1641025080,613.0
1641025081,615.0
1641025082,615.0
1641025083,615.0
1641025084,615.0
1641025085,619.0
1641025086,618.0
1641025087,618.0
1641025088,618.0
1641025089,618.0
1641025090,615.0
1641025091,615.0
1641025092,615.0
1641025093,615.0
1641025094,615.0
1641025095,613.0
1641025096,613.0
1641025097,613.0
1641025098,613.0
1641025099,613.0
1641025100,613.0
1641025101,612.0
1641025102,612.0
1641025103,612.0
1641025104,612.0
1641025105,612.0
1641025106,612.0
1641025107,612.0
1641025108,612.0
1641025109,612.0
1641025110,612.0
1641025111,613.0
1641025112,613.0
1641025113,613.0
1641025114,613.0
1641025115,613.0
1641025116,614.0
1641025117,614.0
1641025118,614.0
1641025119,614.0
1641025120,614.0
1641025121,614.0
1641025122,614.0
1641025123,614.0
1641025124,614.0
1641025125,614.0
1641025126,609.0
1641025127,609.0
1641025128,609.0
1641025129,609.0
1641025130,609.0
1641025131,146.0
1641025132,146.0
1641025133,146.0
1641025134,146.0
1641025135,146.0
1641025136,617.0
1641025137,617.0
1641025138,617.0
1641025139,617.0
1641025140,620.0
1641025141,620.0
1641025142,620.0
1641025143,620.0
1641025144,620.0
1641025145,620.0
1641025146,620.0
1641025147,620.0
1641025148,620.0
1641025149,620.0
1641025150,620.0
1641025151,620.0
1641025152,620.0
1641025153,620.0
1641025154,620.0
1641025155,620.0
1641025156,619.0
1641025157,619.0
1641025158,619.0
1641025159,619.0
1641025160,619.0
1641025161,620.0
1641025162,620.0
1641025163,620.0
1641025164,620.0
1641025165,620.0
1641025166,619.0
1641025167,619.0
1641025168,619.0
1641025169,619.0
1641025170,572.0
1641025171,571.0
1641025172,571.0
1641025173,571.0
1641025174,571.0
1641025175,571.0
1641025176,568.0
1641025177,568.0
1641025178,568.0
1641025179,568.0
1641025180,568.0
1641025181,102.0
1641025182,102.0
1641025183,102.0
1641025184,102.0
1641025185,102.0
1641025186,102.0
1641025187,102.0
1641025188,102.0
1641025189,102.0
1641025190,102.0
1641025191,102.0
1641025192,102.0
1641025193,102.0
1641025194,102.0
1641025195,102.0
1641025196,102.0
1641025197,102.0
1641025198,102.0
1641025199,102.0
1641025200,27.0
1641025201,27.0
1641025202,27.0
1641025203,27.0
1641025204,27.0
1641025205,27.0
1641025206,27.0
1641025207,27.0
1641025208,27.0
1641025209,27.0
1641025210,27.0
1641025211,27.0
1641025212,27.0
1641025213,27.0
1641025214,27.0
1641025215,27.0
1641025216,27.0
1641025217,27.0
1641025218,27.0
1641025219,27.0
1641025220,27.0
1641025221,27.0
1641025222,27.0
1641025223,27.0
1641025224,27.0
1641025225,27.0
1641025226,27.0
1641025227,27.0
1641025228,27.0
1641025229,27.0
1641025230,30.0
1641025231,30.0
1641025232,30.0
1641025233,30.0
1641025234,30.0
1641025235,30.0
1641025236,30.0
1641025237,30.0
1641025238,30.0
1641025239,30.0
1641025240,30.0
1641025241,30.0
1641025242,30.0
1641025243,30.0
1641025244,30.0
1641025245,30.0
1641025246,30.0
1641025247,30.0
1641025248,30.0
1641025249,30.0
1641025250,30.0
1641025251,30.0
1641025252,30.0
1641025253,30.0
1641025254,30.0
1641025255,30.0
1641025256,30.0
1641025257,30.0
1641025258,30.0
1641025259,30.0
1641025260,25.0
1641025261,25.0
1641025262,25.0
1641025263,25.0
1641025264,25.0
1641025265,25.0
1641025266,25.0
1641025267,25.0
1641025268,25.0
1641025269,25.0
1641025270,25.0
1641025271,25.0
1641025272,25.0
1641025273,25.0
1641025274,25.0
1641025275,25.0
1641025276,25.0
1641025277,25.0
1641025278,25.0
1641025279,25.0
1641025280,25.0
1641025281,25.0
1641025282,25.0
1641025283,25.0
1641025284,25.0
1641025285,25.0
1641025286,25.0
1641025287,25.0
1641025288,25.0
1641025289,25.0
1641025290,27.0
1641025291,27.0
1641025292,27.0
1641025293,27.0
1641025294,27.0
1641025295,27.0
1641025296,27.0
1641025297,27.0
1641025298,27.0
1641025299,27.0
1641025300,27.0
1641025301,27.0
1641025302,27.0
1641025303,27.0
1641025304,27.0
1641025305,27.0
1641025306,27.0
1641025307,27.0
1641025308,27.0
1641025309,27.0
1641025310,27.0
1641025311,27.0
1641025312,27.0
1641025313,27.0
1641025314,27.0
1641025315,27.0
1641025316,27.0
1641025317,27.0
1641025318,27.0
1641025319,27.0
1641025320,22.0
1641025321,22.0
1641025322,22.0
1641025323,22.0
1641025324,22.0
1641025325,22.0
1641025326,22.0
1641025327,22.0
1641025328,22.0
1641025329,22.0
1641025330,22.0
1641025331,22.0
1641025332,22.0
1641025333,22.0
1641025334,22.0
1641025335,22.0
1641025336,22.0
1641025337,22.0
1641025338,22.0
1641025339,22.0
1641025340,22.0
1641025341,22.0
1641025342,22.0
1641025343,22.0
1641025344,22.0
1641025345,22.0
1641025346,22.0
1641025347,22.0
1641025348,22.0
1641025349,22.0
1641025350,20.0
1641025351,20.0
1641025352,20.0
1641025353,20.0
1641025354,20.0
1641025355,20.0
1641025356,20.0
1641025357,20.0
1641025358,20.0
1641025359,20.0
1641025360,20.0
1641025361,20.0
1641025362,20.0
1641025363,20.0
1641025364,20.0
1641025365,20.0
1641025366,20.0
1641025367,20.0
1641025368,20.0
1641025369,20.0
1641025370,20.0
1641025371,20.0
1641025372,20.0
1641025373,20.0
1641025374,20.0
1641025375,20.0
1641025376,20.0
1641025377,20.0
1641025378,20.0
1641025379,20.0
1641025380,23.0
1641025381,23.0
1641025382,23.0
1641025383,23.0
1641025384,23.0
1641025385,23.0
1641025386,23.0
1641025387,23.0
1641025388,23.0
