,power
timestamp,active
1640995479,0.1455
1640995480,0.1439
1640995481,0.1439
1640995482,0.1439
1640995483,0.1439
1640995484,0.1439
1640995485,0.1415
1640995486,0.1415
1640995487,0.1415
1640995488,0.1415
1640995489,0.1415
1640995490,0.1409
1640995491,0.1409
1640995492,0.1409
1640995493,0.1409
1640995494,0.1409
1640995495,0.1409
1640995496,0.1409
1640995497,0.1409
1640995498,0.1409
1640995499,0.1409
1640995500,0.1419
1640995501,0.1419
1640995502,0.1419
1640995503,0.1419
1640995504,0.1419
1640995505,0.1566
1640995506,0.1566
1640995507,0.1566
1640995508,0.1566
1640995509,0.1566
1640995510,0.1563
1640995511,0.1563
1640995512,0.1563
1640995513,0.1563
1640995514,0.1563
1640995515,0.1745
1640995516,0.1745
1640995517,0.1745
1640995518,0.1745
1640995519,0.1745
1640995520,0.1667
1640995521,0.1667
1640995522,0.1667
1640995523,0.1667
1640995524,0.1667
1640995525,0.1724
1640995526,0.1724
1640995527,0.1724
1640995528,0.1724
1640995529,0.1724
1640995530,0.1664
1640995531,0.1664
1640995532,0.1664
1640995533,0.1664
1640995534,0.1664
1640995535,0.1515
1640995536,0.1515
1640995537,0.1515
1640995538,0.1515
1640995539,0.1515
1640995540,0.1512
1640995541,0.1512
1640995542,0.1512
1640995543,0.1512
1640995544,0.1512
1640995545,0.1511
1640995546,0.1511
1640995547,0.1511
1640995548,0.1511
1640995549,0.1511
1640995550,0.1558
1640995551,0.1558
1640995552,0.1558
1640995553,0.1558
1640995554,0.1558
1640995555,0.1560
1640995556,0.1560
1640995557,0.1560
1640995558,0.1560
1640995559,0.1560
1640995560,0.1541
1640995561,0.1541
1640995562,0.1541
1640995563,0.1541
1640995564,0.1541
1640995565,0.1552
1640995566,0.1552
1640995567,0.1552
1640995568,0.1552
1640995569,0.1552
1640995570,0.1544
1640995571,0.1544
1640995572,0.1544
1640995573,0.1544
1640995574,0.1544
1640995575,0.1481
1640995576,0.1481
1640995577,0.1481
1640995578,0.1481
1640995579,0.1481
1640995580,0.1506
1640995581,0.1506
1640995582,0.1506
1640995583,0.1506
1640995584,0.1506
1640995585,0.1497
1640995586,0.1497
1640995587,0.1497
1640995588,0.1497
1640995589,0.1497
1640995590,0.1606
1640995591,0.1606
1640995592,0.1606
1640995593,0.1606
1640995594,0.1606
1640995595,0.1537
1640995596,0.1537
1640995597,0.1537
1640995598,0.1537
1640995599,0.1537
1640995600,0.1606
1640995601,0.1606
1640995602,0.1606
1640995603,0.1606
1640995604,0.1606
1640995605,0.1646
1640995606,0.1646
1640995607,0.1646
1640995608,0.1646
1640995609,0.1646
1640995610,0.1539
1640995611,0.1539
1640995612,0.1539
1640995613,0.1539
1640995614,0.1539
1640995615,0.1533
1640995616,0.1533
1640995617,0.1533
1640995618,0.1533
1640995619,0.1533
1640995620,0.1695
1640995621,0.1695
1640995622,0.1695
1640995623,0.1695
1640995624,0.1695
1640995625,0.1768
1640995626,0.1768
1640995627,0.1768
1640995628,0.1768
1640995629,0.1768
1640995630,0.1675
1640995631,0.1675
1640995632,0.1675
1640995633,0.1675
1640995634,0.1675
1640995635,0.1546
1640995636,0.1546
1640995637,0.1546
1640995638,0.1546
1640995639,0.1546
1640995640,0.1678
1640995641,0.1678
1640995642,0.1678
1640995643,0.1678
1640995644,0.1678
1640995645,0.0000
1640995646,0.0000
1640995647,0.0000
1640995648,0.0000
1640995649,0.0000
1640995650,0.0000
1640995651,0.0000
1640995652,0.0000
1640995653,0.0000
1640995654,0.0000
1640995655,0.0000
1640995656,0.0000
1640995657,0.0000
1640995658,0.0000
1640995659,0.0000
1640995660,0.0000
1640995661,0.0000
1640995662,0.0000
1640995663,0.0000
1640995664,0.0000
1640995665,0.0000
1640995666,0.0000
1640995667,0.0000
1640995668,0.0000
1640995669,0.0000
1640995670,0.0000
1640995671,0.0000
1640995672,0.0000
1640995673,0.0000
1640995674,0.0000
1640995675,0.0000
1640995676,0.0000
1640995677,0.0000
1640995678,0.0000
1640995679,0.0000
1640995680,0.0000
1640995681,0.0000
1640995682,0.0000
1640995683,0.0000
1640995684,0.0000
1640995685,0.0000
1640995686,0.0000
1640995687,0.0000
1640995688,0.0000
1640995689,0.0000
1640995690,0.0000
1640995691,0.0000
1640995692,0.0000
1640995693,0.0000
1640995694,0.0000
1640995695,0.0000
1640995696,0.0000
1640995697,0.0000
1640995698,0.0000
1640995699,0.0000
1640995700,0.0000
1640995701,0.0000
1640995702,0.0000
1640995703,0.0000
1640995704,0.0000
1640995705,0.0346
1640995706,0.0346
1640995707,0.0346
1640995708,0.0346
1640995709,0.0346
1640995710,0.1109
1640995711,0.1109
1640995712,0.1109
1640995713,0.1109
1640995714,0.1109
1640995715,0.1488
1640995716,0.1488
1640995717,0.1488
1640995718,0.1488
1640995719,0.1488
1640995720,0.1474
1640995721,0.1474
1640995722,0.1474
1640995723,0.1474
1640995724,0.1474
1640995725,0.1476
1640995726,0.1476
1640995727,0.1476
1640995728,0.1476
1640995729,0.1476
1640995730,0.1476
1640995731,0.1476
1640995732,0.1476
1640995733,0.1476
1640995734,0.1476
1640995735,0.1476
1640995736,0.1476
1640995737,0.1476
1640995738,0.1476
1640995739,0.1476
1640995740,0.1523
1640995741,0.1523
1640995742,0.1523
1640995743,0.1523
1640995744,0.1523
1640995745,0.1459
1640995746,0.1459
1640995747,0.1459
1640995748,0.1459
1640995749,0.1459
1640995750,0.1484
1640995751,0.1484
1640995752,0.1484
1640995753,0.1484
1640995754,0.1484
1640995755,0.1488
1640995756,0.1488
1640995757,0.1488
1640995758,0.1488
1640995759,0.1488
1640995760,0.1432
1640995761,0.1432
1640995762,0.1432
1640995763,0.1432
1640995764,0.1432
1640995765,0.1415
1640995766,0.1415
1640995767,0.1415
1640995768,0.1415
1640995769,0.1415
1640995770,0.1478
1640995771,0.1478
1640995772,0.1478
1640995773,0.1478
1640995774,0.1478
1640995775,0.1447
1640995776,0.1447
1640995777,0.1447
1640995778,0.1447
1640995779,0.1447
1640995780,0.1481
1640995781,0.1481
1640995782,0.1481
1640995783,0.1481
1640995784,0.1481
1640995785,0.1462
1640995786,0.1462
1640995787,0.1462
1640995788,0.1462
1640995789,0.1462
1640995790,0.1558
1640995791,0.1558
1640995792,0.1558
1640995793,0.1558
1640995794,0.1558
1640995795,0.1546
